;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;Peso Total;10;; R$4,69 ;;Peso Total;10;; R$3,53 ;;Peso Total;1;; R$1,71 ;;;;;;;;;;;;;;
;PESO DEPOIS DE PRONTO;10;PREÇO/KG ?; R$468,65 ;;PESO DEPOIS DE PRONTO;10;PREÇO/KG ?; R$352,66 ;;PESO DEPOIS DE PRONTO;1;PREÇO/KG ?; R$1.705,35 ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wings Inteira;;;;;Yakimeshi;;;;;ZZ PREPARO 30;;;;;;;;;;;;;;;;;
;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;;;;;;;;;;;;;
;Frango Passarinho;800;  ;  ;;Shari;200; R$3,88 ; R$0,78 ;;;;  ;  ;;;;;;;;;;;;;;
;Embalagem Poke;1; R$1.210,00 ; R$1,21 ;;Sassami;100; R$15,00 ; R$1,50 ;;;;  ;  ;;;;;;;;;;;;;;
;Potinho Shoyu;1000; R$0,21 ; R$0,21 ;;Ovo;60; R$10,00 ; R$0,60 ;;;;  ;  ;;;;;;;;;;;;;;
;Molho Acevichado;30; R$9,42 ; R$0,28 ;;Cebolinha;40; R$2,59 ; R$0,10 ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;Alho;5; R$22,90 ; R$0,11 ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;Gengibre;5; R$22,90 ; R$0,11 ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;Broto de Feijão;50; R$11,00 ; R$0,55 ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;Cenoura;30; R$4,29 ; R$0,13 ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;Óleo de Soja;75; R$8,40 ; R$0,63 ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;Óleo de Gergelim;5; R$68,31 ; R$0,34 ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;Óleo de Gergelim;5; R$68,31 ; R$0,34 ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;Batata Doce;5; R$3,69 ; R$0,02 ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
